iter	RMSE
0	25675.41923
1	24224.14417
2	22743.70736
3	21361.00532
4	20238.53494
5	19141.7416
6	18030.78618
7	17074.57703
8	16171.43885
9	15392.38647
10	14796.15932
11	14137.87236
12	13569.92478
13	12976.08418
14	12493.72965
15	12081.37032
16	11669.03811
17	11296.80621
18	10881.21016
19	10556.87365
20	10222.12112
21	9930.923567
22	9692.366361
23	9422.737021
24	9196.593326
25	8978.261111
26	8796.722262
27	8631.7993
28	8424.667221
29	8218.861408
30	8093.232287
31	7954.756016
32	7788.571006
33	7698.445229
34	7533.805631
35	7467.848441
36	7364.481916
37	7252.227639
38	7182.258529
39	7054.368999
40	6976.682226
41	6866.577549
42	6791.116212
43	6747.84874
44	6681.485746
45	6603.878359
46	6538.633971
47	6461.453163
48	6404.068832
49	6361.167859
50	6293.456515
51	6207.154287
52	6143.981044
53	6106.894448
54	6060.213965
55	6002.31598
56	5969.947431
57	5942.313007
58	5907.048227
59	5863.706541
60	5826.099312
61	5766.180378
62	5719.648554
63	5658.497285
64	5626.904355
65	5608.842253
66	5569.943137
67	5549.813346
68	5506.377129
69	5473.774893
70	5397.790805
71	5379.428951
72	5360.589389
73	5313.183361
74	5284.576565
75	5248.909038
76	5178.890193
77	5153.208239
78	5123.039998
79	5099.234758
80	5045.806583
81	5010.900453
82	4999.527147
83	4987.594595
84	4933.910537
85	4882.802416
86	4871.368422
87	4825.644922
88	4779.330419
89	4731.767632
90	4720.992307
91	4710.740272
92	4701.021441
93	4634.900719
94	4602.959834
95	4559.37817
96	4551.538656
97	4520.820598
98	4481.216683
99	4436.383467
100	4406.182287
101	4329.696743
102	4322.089663
103	4279.587847
104	4230.402679
105	4222.688798
106	4218.106427
107	4168.842203
108	4162.091109
109	4155.879489
110	4099.235229
111	4093.648263
112	4070.789432
113	4047.411949
114	4041.040123
115	4035.395275
116	4008.39719
117	4003.531281
118	3956.650089
119	3924.83337
120	3910.846386
121	3873.537241
122	3841.040815
123	3811.716532
124	3763.718651
125	3705.910078
126	3661.201853
127	3638.174977
128	3607.853465
129	3604.105613
130	3558.805505
131	3524.067726
132	3494.874169
133	3462.891314
134	3435.401064
135	3410.202904
136	3406.153008
137	3387.807186
138	3360.303795
139	3334.286241
140	3326.913216
141	3298.127978
142	3262.910467
143	3259.87996
144	3238.181663
145	3231.352321
146	3214.014036
147	3210.911355
148	3190.618473
149	3169.490943
150	3139.582226
151	3097.756735
152	3074.78496
153	3031.607393
154	3006.177654
155	3003.091047
156	2979.115773
157	2963.518414
158	2946.997182
159	2937.010962
160	2920.441123
161	2897.538062
162	2869.693038
163	2851.566411
164	2844.904039
165	2823.275157
166	2801.079785
167	2757.992794
168	2754.975658
169	2735.098784
170	2701.859892
171	2676.625758
172	2656.510933
173	2645.61551
174	2620.223813
175	2596.949238
176	2580.012996
177	2565.579978
178	2543.306443
179	2538.671507
180	2517.97423
181	2507.670325
182	2487.566094
183	2456.488208
184	2444.198136
185	2439.198072
186	2416.276491
187	2402.190478
188	2397.759998
189	2392.623731
190	2381.849605
191	2364.414094
192	2345.320553
193	2329.696893
194	2322.011242
195	2301.237202
196	2288.126873
197	2275.827244
198	2248.847847
199	2223.907061
200	2207.24198
201	2187.239465
202	2184.992806
203	2167.068853
204	2142.673171
205	2140.737012
206	2129.693259
207	2121.304121
208	2112.91445
209	2081.518515
210	2072.156377
211	2065.40102
212	2047.422092
213	2034.323637
214	2021.677818
215	2014.396315
216	1989.417491
217	1977.842385
218	1964.59581
219	1943.971979
220	1936.288837
221	1926.607791
222	1917.909827
223	1902.17733
224	1892.104208
225	1869.467137
226	1855.361654
227	1849.956516
228	1837.335502
229	1820.157018
230	1810.182344
231	1796.691854
232	1777.842784
233	1771.2051
234	1767.578856
235	1756.96743
236	1734.764392
237	1728.824462
238	1715.720461
239	1710.417635
240	1703.343712
241	1697.184647
242	1684.020539
243	1678.889447
244	1667.588132
245	1661.210515
246	1643.080156
247	1635.025597
248	1617.698006
249	1598.551676
250	1590.844633
251	1582.176093
252	1566.344792
253	1561.99555
254	1549.62765
255	1543.40952
256	1529.66477
257	1524.864304
258	1519.219056
259	1509.548827
260	1495.761131
261	1486.827691
262	1478.342103
263	1474.46483
264	1466.59467
265	1461.342545
266	1452.49676
267	1446.2636
268	1437.912394
269	1428.409072
270	1420.3181
271	1408.391167
272	1397.827375
273	1392.852596
274	1382.526862
275	1375.54788
276	1369.622027
277	1357.69156
278	1346.339942
279	1339.929814
280	1333.110678
281	1326.39757
282	1319.813376
283	1317.789253
284	1315.884181
285	1307.513176
286	1294.68474
287	1287.468132
288	1283.34194
289	1277.740539
290	1274.269684
291	1265.005275
292	1256.965778
293	1246.871785
294	1242.021104
295	1234.93433
296	1227.740587
297	1221.892934
298	1216.031832
299	1213.134459
300	1208.900947
301	1201.357168
302	1194.47836
303	1188.841397
304	1184.281728
305	1180.890371
306	1172.453926
307	1169.751672
308	1166.967011
309	1165.26281
310	1160.573039
311	1153.180233
312	1146.074404
313	1139.472976
314	1130.51752
315	1130.02226
316	1122.927789
317	1117.150448
318	1109.809934
319	1104.293534
320	1097.18194
321	1084.143831
322	1082.780575
323	1076.804832
324	1073.192787
325	1064.705509
326	1054.313854
327	1048.156531
328	1043.589773
329	1037.597934
330	1031.824744
331	1027.268174
332	1024.690563
333	1021.546153
334	1017.436769
335	1012.273072
336	1006.488555
337	1000.548183
338	996.9758051
339	996.009432
340	991.0881685
341	986.148098
342	982.8867423
343	975.4797439
344	971.2614808
345	967.7891545
346	964.0228068
347	955.4416791
348	951.1212099
349	944.0109124
350	941.5751098
351	937.4385318
352	929.5342982
353	924.7696475
354	919.9291392
355	914.2272957
356	908.9528385
357	904.5347715
358	899.8782626
359	895.7175446
360	889.9866123
361	885.5904313
362	881.2931378
363	876.7833583
364	871.6230214
365	862.4111898
366	855.7778355
367	852.117193
368	845.766885
369	843.0438513
370	839.879102
371	838.3396391
372	837.1702851
373	833.6515102
374	829.9165299
375	827.210291
376	824.8065684
377	820.0758509
378	816.2435148
379	813.2397689
380	806.8778242
381	803.2694607
382	799.4224367
383	797.8838975
384	797.2297962
385	793.9150242
386	789.2261348
387	784.0589616
388	782.4030864
389	778.658122
390	776.0593774
391	772.8666681
392	764.1728406
393	759.5577617
394	753.4854871
395	748.6725773
396	742.9659565
397	739.3310067
398	737.2615175
399	734.857112
400	732.5299932
401	725.758474
402	721.2633467
403	719.2219881
404	714.9707948
405	708.2876338
406	703.9182579
407	697.9240263
408	694.4257226
409	689.655279
410	684.0115727
411	680.821027
412	676.3081711
413	673.181655
414	671.0926585
415	663.4028077
416	660.3433658
417	658.5667925
418	656.8496266
419	651.2844412
420	648.2918338
421	643.2124908
422	639.8679425
423	637.2205987
424	630.5754695
425	626.5836964
426	623.5527773
427	618.4152857
428	616.4737274
429	610.6067652
430	606.4935641
431	603.275601
432	598.0806021
433	595.3919442
434	592.6886095
435	588.6955667
436	583.1528639
437	580.5686735
438	578.4271365
439	576.9499168
440	569.0820691
441	564.428515
442	560.4446385
443	559.0210828
444	555.3790658
445	553.1428999
446	551.7240577
447	549.4991363
448	546.0678102
449	539.8540112
450	537.2659118
451	535.6758178
452	533.1917689
453	531.6095904
454	528.6640524
455	527.6261049
456	525.9803017
457	520.4371194
458	518.791723
459	515.4936756
460	510.6688235
461	508.3696918
462	506.6381222
463	502.8911342
464	502.1129511
465	500.1720924
466	498.1565726
467	494.4578853
468	488.9667133
469	487.0179895
470	484.3864163
471	482.6555221
472	480.1331988
473	477.7793745
474	476.3559778
475	473.8376672
476	470.9142032
477	468.6715275
478	466.9945113
479	464.6585481
480	463.1488342
481	458.5288883
482	457.7814191
483	456.5898073
484	454.0848374
485	452.6804011
486	450.8300625
487	449.3397977
488	444.805953
489	443.1661194
490	439.7022258
491	437.6986178
492	436.1961653
493	434.9774131
494	430.3283519
495	428.6131825
496	424.7964432
497	422.6542317
498	421.030939
499	419.1053939
500	416.7599767
501	416.1612202
502	415.2583274
503	413.1423017
504	411.6061533
505	409.3648787
506	407.0259666
507	405.0922806
508	403.838135
509	400.3981315
510	399.1915663
511	395.6487353
512	394.584075
513	393.0030719
514	391.1639502
515	389.1321334
516	387.387201
517	384.0355874
518	383.7428442
519	382.728071
520	379.5668101
521	377.6026895
522	376.2615388
523	374.0570799
524	370.287136
525	367.0880537
526	365.4156882
527	363.0293202
528	361.4010994
529	359.0221641
530	358.5801067
531	356.3455108
532	354.4767667
533	352.6081562
534	350.142779
535	349.6513107
536	347.4921575
537	345.1252366
538	342.1657517
539	339.83774
540	338.0336219
541	333.882297
542	333.0067843
543	332.3932449
544	330.6517202
545	329.9788578
546	329.6167177
547	329.2299035
548	327.5196619
549	325.2586618
550	322.9220384
551	322.5698044
552	321.0603227
553	318.3095103
554	317.7670547
555	315.3589312
556	314.377748
557	313.8031233
558	312.9340497
559	311.6582992
560	311.0664957
561	310.22126
562	308.8344132
563	307.2419987
564	306.2369952
565	305.371108
566	303.6613076
567	302.127005
568	300.8001664
569	298.0508696
570	297.2574123
571	294.3751528
572	293.862175
573	292.8678482
574	292.409657
575	291.6855669
576	291.265679
577	289.9528796
578	288.5479293
579	286.9843727
580	286.5470078
581	285.1221663
582	284.4813638
583	283.0233876
584	281.0016071
585	279.5545074
586	277.8957366
587	276.1731095
588	274.7171458
589	271.8519524
590	270.2810502
591	269.5263924
592	267.9573191
593	266.3305392
594	264.6009377
595	262.1488611
596	261.5518842
597	258.4730173
598	257.624622
599	256.7808752
600	255.9109549
601	253.8503491
602	251.826083
603	250.5069018
604	248.6921581
605	247.4330655
606	246.2431129
607	245.1602857
608	243.8435131
609	242.9958058
610	242.6877591
611	241.9707142
612	240.9196433
613	240.4045521
614	238.2997265
615	236.1667625
616	234.3347313
617	233.792388
618	232.0350497
619	231.2295363
620	230.1246681
621	228.2069938
622	227.5111183
623	225.9061421
624	224.9342018
625	224.5599538
626	223.7711417
627	223.3554014
628	222.708428
629	221.6250741
630	221.0532969
631	220.3992944
632	218.5625036
633	217.1245406
634	215.8882069
635	215.0423982
636	214.3393528
637	213.6735899
638	212.7122876
639	211.0148909
640	210.106351
641	209.2608376
642	208.0096034
643	207.2858246
644	206.8758086
645	205.2653322
646	204.7735819
647	203.4827837
648	200.8329751
649	199.7344498
650	199.3958089
651	198.2087578
652	197.4003637
653	196.914801
654	195.0864719
655	194.1392475
656	193.3776592
657	193.2166208
658	191.5191316
659	190.8986693
660	189.8517941
661	189.0355971
662	188.1501409
663	187.6395598
664	187.0343651
665	185.9764709
666	184.9745589
667	184.1403885
668	183.3540192
669	182.0458435
670	181.409354
671	180.0259067
672	179.6208076
673	179.0823643
674	178.0946755
675	177.3851615
676	176.6696664
677	175.48149
678	175.121403
679	173.4008723
680	171.9844617
681	171.2056469
682	170.7000654
683	169.9934126
684	169.1791748
685	168.379707
686	167.4905948
687	166.1495134
688	164.8613007
689	164.6612741
690	163.0309576
691	162.1737856
692	161.980838
693	161.3519887
694	160.9796667
695	159.8156314
696	159.0795968
697	158.0018772
698	157.3432203
699	156.2021078
700	155.6310823
701	155.4285349
702	154.5874407
703	153.7548968
704	152.9148439
705	152.1371122
706	151.1520472
707	150.2955751
708	150.095654
709	149.6281322
710	148.5064415
711	148.1729642
712	147.2403062
713	146.9311541
714	146.5556679
715	145.487453
716	144.8038577
717	144.0128948
718	143.8400092
719	143.6183198
720	143.2320284
721	142.8768347
722	141.5077866
723	141.2778673
724	141.0012714
725	140.1711164
726	139.6918144
727	139.1142776
728	138.025449
729	136.8575041
730	135.8844921
731	134.9163753
732	134.319385
733	133.1758682
734	132.413538
735	132.3712871
736	131.7439963
737	130.6339703
738	129.7755627
739	129.619836
740	129.3782916
741	128.2448421
742	127.6135784
743	127.459853
744	126.6978029
745	125.8392984
746	125.011076
747	124.8558704
748	124.7441616
749	123.9280971
750	123.2905603
751	122.8822826
752	122.4632893
753	121.6833739
754	121.0719892
755	120.5646459
756	119.6803679
757	118.6589482
758	118.2036815
759	116.9985539
760	116.658568
761	116.5835476
762	116.0158599
763	114.9821021
764	114.8799856
765	113.888009
766	113.643103
767	112.5561087
768	112.3224586
769	111.3510923
770	110.5730915
771	109.6056565
772	109.1945548
773	108.1777674
774	108.0229465
775	107.5152602
776	107.3613018
777	107.1914612
778	106.0495388
779	105.4798673
780	104.734542
781	104.2646735
782	103.798916
783	103.6244275
784	103.0809998
785	102.7256248
786	102.2330357
787	101.6482572
788	101.4993742
789	101.1458598
790	100.4401366
791	100.0671023
792	99.5598417
793	98.68128086
794	98.16987308
795	97.36522719
796	96.06256682
797	95.34825068
798	95.14559413
799	94.47109817
800	94.37600121
801	93.95236956
802	93.44641419
803	92.92189459
804	92.04747008
805	91.34734092
806	90.71305374
807	90.33834983
808	89.8233709
809	89.56633593
810	89.22057851
811	88.47570215
812	88.03416068
813	87.59473406
814	87.45045271
815	87.18889212
816	86.90870357
817	86.0893055
818	85.62504247
819	84.50343625
820	84.1310754
821	83.78194761
822	83.49306768
823	83.02654636
824	82.78098461
825	82.39087759
826	82.14710122
827	82.11542737
828	81.63998622
829	81.29950314
830	80.54755416
831	79.9974756
832	79.73224089
833	79.63971466
834	79.28730304
835	78.91056407
836	78.34847988
837	78.18885718
838	77.40372608
839	76.88712629
840	76.03496757
841	75.44215326
842	75.34617762
843	74.69450554
844	74.35606318
845	73.83604975
846	73.70067643
847	73.34129168
848	73.16807618
849	73.06301018
850	72.50242558
851	71.98046156
852	71.72970401
853	71.19439694
854	70.38950962
855	70.0102619
856	69.37929327
857	68.67734845
858	68.57452596
859	68.37532312
860	68.19529592
861	67.97556862
862	67.23735634
863	67.18011663
864	66.55878525
865	66.34483611
866	65.89892528
867	65.50069583
868	65.17958448
869	64.73896138
870	64.44293336
871	64.11215708
872	63.71583389
873	63.47872107
874	63.30366293
875	62.76986641
876	62.5692583
877	62.08332505
878	61.9285011
879	61.54361916
880	61.1151076
881	60.99806077
882	60.73148329
883	60.44042306
884	60.17797574
885	59.76117916
886	59.45965377
887	59.1926099
888	58.79814814
889	58.30691594
890	57.85655212
891	57.66412895
892	57.39609199
893	57.12967219
894	56.91275867
895	56.72088941
896	56.43418585
897	56.35572948
898	55.80602193
899	55.40473386
900	55.2695431
901	55.04349371
902	54.66917491
903	54.58280582
904	54.27928262
905	53.9017058
906	53.54028562
907	53.22932907
908	52.99966102
909	52.79475268
910	52.43461514
911	52.12594979
912	51.66467604
913	51.42408708
914	51.24092095
915	51.02893809
916	50.84500988
917	50.77028269
918	50.47310527
919	50.25623361
920	49.94004003
921	49.86789704
922	49.78819782
923	49.40824684
924	49.20888013
925	48.91206067
926	48.67809877
927	48.36008616
928	48.10357795
929	47.86720805
930	47.65136433
931	47.28311572
932	47.11043959
933	47.07157111
934	46.87242653
935	46.73335223
936	46.64777394
937	46.43178653
938	46.08969338
939	45.95104544
940	45.76778668
941	45.54963029
942	45.38774147
943	45.06691369
944	44.95681014
945	44.74535668
946	44.67223664
947	44.57117308
948	44.37071569
949	43.97123955
950	43.82119031
951	43.77510343
952	43.51807458
953	43.4106314
954	43.14663705
955	43.08037752
956	42.94003388
957	42.8443005
958	42.5372497
959	42.42817385
960	42.14672508
961	41.96071542
962	41.8875014
963	41.38925549
964	41.1455627
965	40.94464288
966	40.72324663
967	40.41492242
968	40.27520002
969	40.19790945
970	40.02362546
971	39.79185592
972	39.55598099
973	39.22901663
974	38.98497916
975	38.87612818
976	38.65411189
977	38.58815803
978	38.30925677
979	38.09005821
980	37.78373602
981	37.71893772
982	37.5959702
983	37.41665599
984	37.18190186
985	36.90931919
986	36.82075903
987	36.53002413
988	36.16831423
989	35.87234925
990	35.73468932
991	35.53861172
992	35.2786131
993	35.06256157
994	34.93397791
995	34.85490432
996	34.80036117
997	34.60668609
998	34.43237959
999	34.34884716
